source	time	person	location	organization	miscellaneous
factcheck	2004-04-14T00:00:00		u.s. senate|federal|republican-controlled		lying e-mail #
factcheck	2004-06-03T00:00:00		republic|furloughed rapist example|was misused	outstanding consumer charges|vote no !|bouncin Ûª kid ballerina kid|u.s. constitution	
factcheck	2007-04-27T00:00:00				palestinian|palestinians|muscatine-area|republican-aligned
factcheck	2007-05-31T00:00:00		fair tax act		tax analysts|analysis|fairtax book Ûª|english|fiscal year
factcheck	2007-05-30T00:00:00				major tax bills
factcheck	2007-05-16T00:00:00				world climate report blog
factcheck	2007-05-07T00:00:00				acs update annual report
factcheck	2007-05-04T00:00:00		latin american|koreans	workload|chinese|non-mexicans|iranians	mexican
factcheck	2007-05-01T00:00:00			internet	
factcheck	2007-08-29T00:00:00		catholicism|spirit-led|anglicans|best actor	protestant|legislature|medicare|evangelicals|medicaid|new pac	bible|catholics|catholic
factcheck	2007-08-27T00:00:00			secretariat	
factcheck	2007-08-22T00:00:00			sun belt	
factcheck	2007-08-20T00:00:00		institutional removal program|mayor	english|census bureau	
factcheck	2007-08-09T00:00:00				christian|pension protection act|marriage act
factcheck	2007-08-06T00:00:00			american enterprise|rival	islamic
factcheck	2007-09-27T00:00:00			american progress|western	struggle
factcheck	2007-09-21T00:00:00		census		uninsured
factcheck	2007-09-14T00:00:00			shiite|sectarian|qaeda|african	iraqis
factcheck	2007-09-12T00:00:00			numbers|trends	u.s. perspective highlights
factcheck	2007-09-10T00:00:00		tequila|mexican	english|latin american|hispanic|spanish|hispanics	
factcheck	2007-09-06T00:00:00		european economic area	tonight show	european|norwegian
factcheck	2007-10-17T00:00:00		cartesian	french|dutch	wmds|spinozan|internet
factcheck	2007-12-30T00:00:00				medicare|energy|tv|medicaid|lawsuit abuse
factcheck	2007-12-21T00:00:00		canadian|canada-based	world health organization life|canadians	selected nations
factcheck	2007-12-20T00:00:00				oklahoma-arkansas
factcheck	2008-01-31T00:00:00		american dream|franking|america Ûªs|african american|african americans		african
factcheck	2008-01-31T00:00:00				mccain-lieberman|heritage
factcheck	2008-01-29T00:00:00		politicians	iraqi freedom|european|american war|asian|nobel peace prize	
factcheck	2008-01-29T00:00:00		iraqis	data explorer|concerned local citizens|child left behind act|iranian|congressional|brookings institution iraq|african-american|union	army|british|african american|african americans
factcheck	2008-01-28T00:00:00			ugly|romney-related	bad|connector overview|romney-backed|internet
factcheck	2008-01-25T00:00:00		medicare|good morning america	medicaid|reagan|american health choices plan	
factcheck	2008-01-24T00:00:00			census	
factcheck	2008-01-24T00:00:00		academy award	absurd	
factcheck	2008-01-22T00:00:00		wal-mart|ever- ' present|depression	sixties|social security	borrowed time
factcheck	2008-02-29T00:00:00		day|army		
factcheck	2008-02-28T00:00:00		issues		
factcheck	2008-02-28T00:00:00				qaeda|senate-passed
factcheck	2008-02-27T00:00:00			iraqis	script|qaeda
factcheck	2008-02-25T00:00:00		u.s. navy	office	immigration|constitution|u.s. constitution
factcheck	2008-02-24T00:00:00		world economic forum	obama mailer slams	mexican
factcheck	2008-02-24T00:00:00				amendment
factcheck	2008-02-22T00:00:00		rasmussen	u.s. senate|spanish	operation wagon train|lugar-obama|coburn-obama act
factcheck	2008-02-21T00:00:00			asians	
factcheck	2008-03-31T00:00:00			chevron	oklahoma-based
factcheck	2008-03-28T00:00:00		senior lecturers|u.s. senate		law school faculty|senior lecturer
factcheck	2008-03-27T00:00:00		nixon|goldwater girl		
factcheck	2008-03-25T00:00:00			chinese	
factcheck	2008-03-21T00:00:00		u.s. constitution|constitution		court watch|commerce-type
factcheck	2008-03-21T00:00:00				limbaugh democrats
factcheck	2008-03-18T00:00:00		bill|math !		
factcheck	2008-04-30T00:00:00				fox news sunday
factcheck	2008-04-29T00:00:00			consumer price index history table	press|better off ?|consumer price index
factcheck	2008-04-29T00:00:00			census bureau|african american alone	american community survey|african american|african americans
factcheck	2008-04-25T00:00:00			convention	democratic end game
factcheck	2008-04-24T00:00:00		u.s. senate	legislature|senator obama|internet|nov. 29	sun-times
factcheck	2008-04-23T00:00:00		democratic national convention		
factcheck	2008-04-21T00:00:00			old politics|pacs|new hampshire-based	
factcheck	2008-04-21T00:00:00		false charges	pro-clinton	american health choices plan|clinton-like|attack phony
factcheck	2008-05-31T00:00:00			palestinian anti-terrorism act|palestinian|muslim	arab-israeli
factcheck	2008-05-30T00:00:00		our popular vote lead		
factcheck	2008-05-29T00:00:00		super tuesday|campaign		democratic presidential
factcheck	2008-05-29T00:00:00		christian		
factcheck	2008-05-29T00:00:00			slash school lunches|big oil|on our side|doing nothing	
factcheck	2008-05-28T00:00:00		u.s. congress		
factcheck	2008-05-26T00:00:00				olympics
factcheck	2008-05-20T00:00:00				republican-controlled
factcheck	2008-05-19T00:00:00			office	constitution
factcheck	2008-06-26T00:00:00				cuban|non-chinese|chinese
factcheck	2008-06-26T00:00:00		electric car		web-only|memorial day|drilling offshore oil|break our dependence
factcheck	2008-06-24T00:00:00				watergate|australian
factcheck	2008-06-21T00:00:00			obama-sponsored	country i love|midwestern|needy families
factcheck	2008-06-20T00:00:00				mccain-lieberman|then-democratic
factcheck	2008-06-20T00:00:00			afghan	
factcheck	2008-06-20T00:00:00			watergate	
factcheck	2008-07-31T00:00:00		basic petroleum statistics	mccain Ûªs	low road
factcheck	2008-07-30T00:00:00				lexington project
factcheck	2008-07-28T00:00:00				u.s. leadership|cuban|cuban revolution
factcheck	2008-07-28T00:00:00				senator obama|european
factcheck	2008-07-25T00:00:00				middle eastern
factcheck	2008-07-25T00:00:00		major general|senators		soldiers|afghan|potomac
factcheck	2008-07-24T00:00:00		new study documents major strides		mercer|simple question
factcheck	2008-07-22T00:00:00		jewish|u.s. electoral college		southern
factcheck	2008-07-22T00:00:00		against funding our troops|new tv	midwestern|senate democrats	
factcheck	2008-08-29T00:00:00			kenyan|african|harvard law review	american dream|british
factcheck	2008-08-29T00:00:00			pakistani|afghan	qaeda|saddleback presidential candidates forum
factcheck	2008-08-27T00:00:00			internet|death ' tax|muslim|social security	
factcheck	2008-08-27T00:00:00		iranian	holocaust|democratic national convention	
factcheck	2008-08-26T00:00:00			internet	democratic national convention|hindu|buddhist|muslim|jewish
factcheck	2008-08-25T00:00:00				born alive infants protection act
factcheck	2008-08-22T00:00:00			coushatta	tribal lobbying|aug.|christians|indian affairs|indian|choctaw indians
factcheck	2008-08-22T00:00:00		obamas	obamas Ûª	housing problem|rezkos
factcheck	2008-08-21T00:00:00		vietnamese		greek|soviet|loving god|christmas|new years|gulag archipelago|faith of my fathers|solzhenitsyn files|christmas day|christians|new year Ûªs|christian|internet
factcheck	2008-08-21T00:00:00				senator obama|internet|african
factcheck	2008-09-30T00:00:00			stem cell	christian|nobel|stem cell response|rnc
factcheck	2008-09-30T00:00:00		democratic national convention|future|clean coal	obama-biden|push	
factcheck	2008-09-29T00:00:00				republican-backed
factcheck	2008-09-27T00:00:00			u.s. imports|navy|presidential	iraqis|marine|politifact|iranian|major u.s. wars|republican national convention|d-day|kyl-lieberman
factcheck	2008-09-26T00:00:00		floridians|spanish|venezuelan|mccain-palin|cuban	english	anti-american
factcheck	2008-09-26T00:00:00		democratic primary	shaky economy	bush narrator|democratic-leaning
factcheck	2008-10-31T00:00:00			medicaid	weatherman|man cometh since|whoppers Ûù|medicare
factcheck	2008-10-30T00:00:00		mccain-palin	english|african-american|latino	tv|republican-led|african american|presidential candidates|english-language|spanish-language|hispanic|amt patch|spanish|caucasian
factcheck	2008-10-30T00:00:00		false attacks over	political courage test	
factcheck	2008-11-26T00:00:00		hathaway unqualified	protect our families	state|virginia-based
factcheck	2008-11-26T00:00:00			major contributor|samoan	american samoan|south korean
factcheck	2008-11-25T00:00:00		wire|georgians|pro-republican|bad guys		
factcheck	2008-11-24T00:00:00		capitol		mall
factcheck	2008-11-21T00:00:00				feb. 13|republican-backed|georgians
factcheck	2008-11-19T00:00:00		s. correction		gra
factcheck	2008-11-17T00:00:00		u.s. congress		constitution
factcheck	2008-11-14T00:00:00			presidential election	
factcheck	2008-11-11T00:00:00		marxist		gestapo-like
factcheck	2008-12-29T00:00:00				cow tax|epa proposes cow tax
factcheck	2008-12-28T00:00:00			c-32|airlift	judicial watch-released
factcheck	2008-12-26T00:00:00		analysis|ask factcheck|wikipedia	gestapo-like|hot topics|not bankers	uaw|internet|medicare|week
factcheck	2008-12-24T00:00:00		north american|big three		
factcheck	2008-12-18T00:00:00				harvard
factcheck	2008-12-12T00:00:00		appc|muslim	medicare	
factcheck	2008-12-11T00:00:00				japanese
factcheck	2008-12-10T00:00:00				vpc fund raiser
factcheck	2009-01-29T00:00:00		canadian		
factcheck	2009-01-28T00:00:00			minn. senate race	u.s. senate|stassen-berger|brauer
factcheck	2009-01-27T00:00:00				inaugural balls|potomac|inaugural
factcheck	2009-01-22T00:00:00		clean coal facility entrance|underground injection program|clean coal plant		
factcheck	2009-01-16T00:00:00				assembly|pansy
factcheck	2009-01-14T00:00:00			christmas|australian	obamas
factcheck	2009-01-14T00:00:00				windfall tax|ask factcheck|starkist|wikipedia|republican-led|american samoan|internet
factcheck	2009-02-27T00:00:00		cold war		
factcheck	2009-02-26T00:00:00		f-15	cold war	soviet|chinese
factcheck	2009-02-25T00:00:00		french|american cars|western|f-22|union|civil war|scottish|raptor|american-made|german|governor|germans	u.s. obama	cold war
factcheck	2009-02-24T00:00:00		army|every single day		japanese
factcheck	2009-02-20T00:00:00			medicare modernization act	medicaid|british|federal|medicare|british-style|liberal
factcheck	2009-03-31T00:00:00			operations handbook|house-passed|senate-passed	edward m. kennedy serve america act|nation
factcheck	2009-03-24T00:00:00				se|medicare|social security retirement program|democratically-controlled
factcheck	2009-03-23T00:00:00		gulfstream		
factcheck	2009-03-21T00:00:00		american recovery		
factcheck	2009-03-21T00:00:00			plane	
factcheck	2009-04-30T00:00:00			nicaraguan|iran-contra	soviet
factcheck	2009-04-30T00:00:00				u.s. senate|constitutional law iii
factcheck	2009-04-30T00:00:00				somali|catholic
factcheck	2009-04-30T00:00:00		canadian		british-style|british
factcheck	2009-04-29T00:00:00		mexican		somali|navy
factcheck	2009-05-31T00:00:00		amendment	eastern division	
factcheck	2009-05-30T00:00:00				stanley cup
factcheck	2009-05-28T00:00:00			african americans|ricci|clean water act	
factcheck	2009-05-28T00:00:00				making work pay|dems Ûª
factcheck	2009-05-27T00:00:00			god we trust|mint	
factcheck	2009-06-29T00:00:00				african americans
factcheck	2009-06-26T00:00:00		nevada charges acorn|constitution		
factcheck	2009-07-31T00:00:00			hyde	false euthanasia claims|while planned parenthood|medicaid|dems|medicare
factcheck	2009-07-29T00:00:00				state
factcheck	2009-07-29T00:00:00		medicare|advance care planning|medicaid|house-drafted		logan Ûªs run
factcheck	2009-07-28T00:00:00		hawaiian|u.s.a.		
factcheck	2009-07-28T00:00:00			super bowl	european
factcheck	2009-07-28T00:00:00			be our friend	u.s.a.|white|more citizenship quibbles|berg gets sunk|european|more Û÷ birther|omb
factcheck	2009-08-31T00:00:00		european	british	medicaid
factcheck	2009-08-28T00:00:00				healthcare|secretary|medicare-financed|false euthanasia claims|rvus|section|medicare|act|special needs|bureaucracy|medicaid-eligible
factcheck	2009-08-26T00:00:00		u.s. house|false euthanasia claims		medicare|advantage
factcheck	2009-08-26T00:00:00			medicaid	federal|afscme|healthy americans act|senate finance committee
factcheck	2009-09-29T00:00:00			media why|social security cola|truth vs. myth	
factcheck	2009-09-29T00:00:00				mccain Ûªs small-business bunk|annual survey|chairman|medicare
factcheck	2009-09-28T00:00:00				sep
factcheck	2009-10-31T00:00:00				western pa.
factcheck	2009-10-29T00:00:00				american telephone system|nation-wide
factcheck	2009-10-27T00:00:00				"health performance ?,|nobel|us sick care"
factcheck	2009-11-30T00:00:00			employment cost index	social security|consumer price index
factcheck	2009-11-25T00:00:00		frisbee|the tonight show		
factcheck	2009-11-24T00:00:00		obamacare|world		economy|obamas|recovery act
factcheck	2009-11-24T00:00:00			north american union	
factcheck	2009-12-25T00:00:00				white christmas
factcheck	2009-12-24T00:00:00				indian
factcheck	2009-12-24T00:00:00		lies	"job killer ?,"	"was obama born|canadian straw man|lies about h.r.|gulf war|press|death panel|obama-appointed|swine flu emergency ?,|medicare"
factcheck	2010-01-29T00:00:00				union address
factcheck	2010-01-28T00:00:00		government	medicare|u.s.c.	union
factcheck	2010-01-26T00:00:00			mission accomplished	
factcheck	2010-02-25T00:00:00				percent|senate-passed|house gop
factcheck	2010-02-24T00:00:00		medicare	cornhusker kickback|medicaid	senate-passed|backroom deals
factcheck	2010-03-30T00:00:00		new irs agents|fox news sunday		
factcheck	2010-03-29T00:00:00		naked politics		
factcheck	2010-03-25T00:00:00				consumer price index|medicaid|internet
factcheck	2010-03-23T00:00:00			bogus|republican-dominated	
factcheck	2010-03-23T00:00:00		tv	house-passed	medicare
factcheck	2010-04-30T00:00:00		dems		
factcheck	2010-04-29T00:00:00			facebook	soul|christian american|nation
factcheck	2010-04-28T00:00:00				daily american|minnesota-based|social security
factcheck	2010-04-27T00:00:00		webby		
factcheck	2010-04-26T00:00:00			fox news sunday|medicare	union|press
factcheck	2010-05-28T00:00:00		british		u.s. senate
factcheck	2010-05-28T00:00:00			frequently asked questions	internet
factcheck	2010-05-27T00:00:00		gulf Ûªs	gulf Ûªs ÛÏ	
factcheck	2010-05-27T00:00:00		democratic senate		
factcheck	2010-05-25T00:00:00		oxford english dictionary|fox		does immigration cost jobs ?
factcheck	2010-05-24T00:00:00			good morning america|un-american|u.s. senate	democratic senate|union|fox news
factcheck	2010-05-20T00:00:00				jobs
factcheck	2010-06-30T00:00:00		office|times		internet
factcheck	2010-06-29T00:00:00			under consideration|dutch|gulf	act|canadian|facebook
factcheck	2010-06-29T00:00:00			european	green revolution|u.s. geologic survey|u.s. geological survey|icelandic|coke
factcheck	2010-06-28T00:00:00				medicare|fox news sunday|mount filibuster against|afghan|republic
factcheck	2010-06-24T00:00:00				children Ûªs
factcheck	2010-06-24T00:00:00			un-american	oil pollution act|house republican|good morning america
factcheck	2010-06-23T00:00:00				contingencies
factcheck	2010-07-31T00:00:00			medicare	
factcheck	2010-07-29T00:00:00		obamacare	medicare advantage	
factcheck	2010-07-28T00:00:00			medicare	press transcript|u.s. taxpayer|senate tv|medicaid
factcheck	2010-07-28T00:00:00				journal|indian|new mexicans
factcheck	2010-07-26T00:00:00			fox news sunday|mid session review|medicaid|african americans	internet|foxnews.com|new yorkers
factcheck	2010-08-30T00:00:00			making work pay tax credit	
factcheck	2010-08-30T00:00:00		nov.|social security act	wrong way	
factcheck	2010-08-27T00:00:00		medicare		
factcheck	2010-08-27T00:00:00			islamic	
factcheck	2010-08-26T00:00:00			islamists|saudis	"qaida|islamic|ground zero|soviet|minutes|why there ?,|mujahedeen|ground zero mosque|british|soviets|islamism|jewish monthly|muslim world ?|gulf war|press|this week|muslim|sept.|new yorkers"
factcheck	2010-08-26T00:00:00		chitimacha	jinal|first time	
factcheck	2010-09-30T00:00:00			elections division	
factcheck	2010-09-28T00:00:00		republican-approved	gop-sponsored	
factcheck	2010-09-27T00:00:00			historical budget data|union|fox news sunday	budget options|nation
factcheck	2010-09-27T00:00:00		governor tv		medicare|current population survey|congress tv
factcheck	2010-09-24T00:00:00		analysis	tax increases|uses dubious statistics	
factcheck	2010-09-24T00:00:00				closing gdx automotive
factcheck	2010-09-23T00:00:00		best friend|medicare		comprehensive immigration reform act
factcheck	2010-10-31T00:00:00			u.s. senate	social security|medicare
factcheck	2010-10-29T00:00:00		chinese|obama-pelosi|chinese-based	congress tv	
factcheck	2010-10-28T00:00:00		wisconsin judgment day		sequel|iowans|legislature
factcheck	2010-10-28T00:00:00			medicaid|still believe|defeat hall	medicare|world war ii|far enough
factcheck	2010-10-27T00:00:00		libyans|qatari	lebanese american	palestinian|democracy|arab american|islamic
factcheck	2010-10-26T00:00:00			do not call	bearing ' false witness|tall tax tales
factcheck	2010-10-26T00:00:00		medicare|republican-leaning|fairtax|republican-controlled|analysis|democratic-leaning		their own words
factcheck	2010-10-25T00:00:00			afscme|union|fox news sunday|democrat-backed	nation
factcheck	2010-11-30T00:00:00		medicare	media matters [|obamacare	
factcheck	2010-11-23T00:00:00				thanksgiving
factcheck	2010-11-23T00:00:00				super bowl next
factcheck	2010-11-22T00:00:00		u.s. senate	start|baltic	fox news sunday
factcheck	2010-11-22T00:00:00		minutes	nam-pows	vietnamese|century|north vietnamese|social security|cambodian|american pows
factcheck	2010-11-20T00:00:00		bush-era		
factcheck	2010-12-23T00:00:00		one environmental issue|medicare|loser|evening news|college convention		census|not about economic equality|obamacare|arkansan
factcheck	2010-12-22T00:00:00				the viral spiral|fox
factcheck	2010-12-21T00:00:00		ready reserve corps|wasilla|medicare|non-christian	medicaid|muslim	islamic|consumer price index
factcheck	2010-12-15T00:00:00				tsa åÊ blog|explosives trace detection|gerber|corkscrews
factcheck	2010-12-14T00:00:00			social security	general schedule
factcheck	2010-12-14T00:00:00			senate democratic	
factcheck	2011-01-28T00:00:00				british
factcheck	2011-01-27T00:00:00		union|world factbook|medicare	cia world factbook	
factcheck	2011-01-26T00:00:00		multinational tax advantage|union	census	indirect tax survey|medicare|actuary|supercomputers
factcheck	2011-01-25T00:00:00				vietnam war|medicare
factcheck	2011-01-24T00:00:00		fox news sunday		
factcheck	2011-01-21T00:00:00		decade		british|mail|true american
factcheck	2011-01-20T00:00:00		fox news sunday	midwestern	
factcheck	2011-01-19T00:00:00			army	maj. nidal|nation|islamic|major nidal
factcheck	2011-02-28T00:00:00				nation
factcheck	2011-02-28T00:00:00		army|fox news sunday		
factcheck	2011-02-25T00:00:00				union|raw story ÛÏ exclusive
factcheck	2011-02-25T00:00:00		report card|economic freedom|economic freedom world rankings|median household income|current population survey|american thinker|consumer price index|weeks|u.s. dollars|all people below poverty	program statistics	african americans|conference board consumer confidence index å¨ increases
factcheck	2011-02-23T00:00:00			fox news sunday	press
factcheck	2011-02-23T00:00:00				medicare
factcheck	2011-02-22T00:00:00				medicare
factcheck	2011-02-18T00:00:00				union|internet
factcheck	2011-03-31T00:00:00		medicare	u.s. tfr	advocates
factcheck	2011-03-31T00:00:00		federalists		roosevelt recession|clerk
factcheck	2011-03-30T00:00:00		medicare	reagan	
factcheck	2011-03-29T00:00:00		legislative|libyan|arab|libyans|arab league	harvard-trained	
factcheck	2011-03-29T00:00:00			brazilian	bogus brazilian oil claims
