source	time	person	location	organization	miscellaneous
glenngreenwald	2013-06-11T09:00:00				arab|fisa amendments act
glenngreenwald	2013-06-09T00:00:00			swiss|flash|chinese	guardian us
glenngreenwald	2013-06-06T00:00:00			fisa amendments act|verizon	section|guardian
glenngreenwald	2013-06-07T15:06:00				iranian|flash|stuxnet|chinese|cispa
glenngreenwald	2013-06-07T08:04:00				nixon
glenngreenwald	2011-07-23T13:00:00				guardian membership|european economic area|english|facebook|data protection act|online behavioural advertising|guardian
glenngreenwald	2013-06-05T00:00:00			washington-based|guardian	
glenngreenwald	2013-06-04T08:18:00		guardian		
glenngreenwald	2013-06-02T11:05:00			boston marathon|anti-american	latin american|terrorists
glenngreenwald	2013-05-30T08:57:00		bush-era		change|constitution
glenngreenwald	2013-05-29T11:10:00				guardian
glenngreenwald	2013-05-27T11:05:00			perpetual war	
glenngreenwald	2013-05-25T09:32:00		islamic terror|arab	muslim	english|guardian|salafism|israeli|anti-american|british|grand civilization war|mideast|anti-muslim|terrorists|tsarnaevs|terrorist|islamist
glenngreenwald	2013-05-23T09:03:00				muslim american|boston marathon|reagan|bangledeshi|german|british muslim|guardian|dirty wars|british|world war ii|central american|muslim
glenngreenwald	2013-05-21T10:04:00		qatari|palestinian|neo-nazi|jewish|war|anti-jewish|zionist|observer|anti-american	nakba day|' haavara|hungarian zionists|nazis|zionists|german|british|semites|western|jews	libyan
glenngreenwald	2013-05-20T08:16:00				fox news
glenngreenwald	2013-05-17T07:54:00		medicare|islamist|anti-american|english|nobel peace prize		reagan|cold war
glenngreenwald	2013-05-15T10:45:00				new yorker|beltway|fisa amendments act|press|american muslim
glenngreenwald	2013-05-14T10:21:00			grand jury|department	guardian|al-qaida|pulitzer prize|associated press ' records|attorney general|american muslim
glenngreenwald	2013-05-11T09:25:00		real time		
glenngreenwald	2013-05-09T14:01:00		real time		young turks|israeli|palestinian|palestinians
glenngreenwald	2013-05-07T11:27:00		anti-american|constitution|editor		war powers act
glenngreenwald	2013-05-06T11:56:00		israeli|kenyan|syrian-canadian		israelis|british
glenngreenwald	2013-05-04T08:22:00		total information awareness|blackberries|boston marathon|saudi		
glenngreenwald	2013-05-01T08:51:00		yemenis	guantanamo|al-majala	yemeni|al-qaida|anti-american
glenngreenwald	2013-04-29T14:43:00				mirandized|throughout american|anti-british|british
glenngreenwald	2013-04-27T10:36:00		grand marshals|sf gay pride parade|correspondents ' dinner		san francisco pride|gay pride parade|malaki
glenngreenwald	2013-04-24T11:27:00		iranians|tsarnaevs|anti-american|muslim	christians|palestinians|soon-to-be-released|boston marathon|american-yemeni|christian|islam|israeli|yemenis|yemeni|dirty wars	
glenngreenwald	2013-04-22T11:07:00			israeli|boston marathon	christian|atlanta olympic|tsarnaev
glenngreenwald	2013-04-20T09:24:00		democratic-led|once tsarnaev	boston marathon|terrorists	terrorism
glenngreenwald	2013-04-18T09:23:00		libyan|upholding our constitution|british|iranians	saudi|breaking news|american-jewish|iranian	
americablog	2005-01-01T00:00:00				democratic senators
americablog	2005-03-01T00:00:00				internet
americablog	2005-05-01T00:00:00				gop|schiavo|hill
americablog	2005-05-01T00:00:00				british
americablog	2005-06-01T00:00:00				coin-gate|grand jury
americablog	2005-07-01T00:00:00				muslim
americablog	2005-07-01T00:00:00				quaker|british
americablog	2005-08-01T00:00:00				iranians
americablog	2005-08-01T00:00:00				christians
americablog	2005-09-01T00:00:00				superdome
americablog	2005-09-01T00:00:00			gulf	
americablog	2005-10-01T00:00:00				miller
americablog	2006-01-01T00:00:00				windows
americablog	2006-04-01T00:00:00		domenech		
americablog	2006-05-01T00:00:00			world war ii	
americablog	2006-06-01T00:00:00		dems		american-led
americablog	2006-06-01T00:00:00		internet|english	aids	
americablog	2006-07-01T00:00:00		independence day|belgian|coulter		
americablog	2006-07-01T00:00:00				english
americablog	2006-08-01T00:00:00			jews|second world war|jewish	
americablog	2006-09-01T00:00:00				marine
americablog	2006-09-01T00:00:00				commission report
americablog	2006-09-01T00:00:00			islamic	
americablog	2006-09-01T00:00:00				dispatch
americablog	2006-09-01T00:00:00				islamic
americablog	2006-10-01T00:00:00			members	
americablog	2006-10-01T00:00:00				pakistani
americablog	2007-01-01T00:00:00		shiite		
americablog	2007-02-01T00:00:00			iraqis	
americablog	2007-02-01T00:00:00		americablog		xml-feed
americablog	2007-02-01T00:00:00				anti-bush
americablog	2007-03-01T00:00:00		gop		
americablog	2007-04-01T00:00:00				iranians|british
americablog	2007-04-01T00:00:00		press �۝|u.s. attorneys		
americablog	2007-05-01T00:00:00			mission accomplished|mission accomplished �۝	
americablog	2007-06-01T00:00:00				lieberman
americablog	2007-06-01T00:00:00			holsinger	
americablog	2007-06-01T00:00:00				anti-rudy|catholics
americablog	2007-07-01T00:00:00			israeli	dems
americablog	2007-07-01T00:00:00		press �۝|repubs		
americablog	2007-07-01T00:00:00			muslim	���
americablog	2007-08-01T00:00:00				african-american|african-americans
americablog	2007-08-01T00:00:00		sunni		us-led
americablog	2007-08-01T00:00:00			iraqis|afghan|pakistani|qaeda	
americablog	2007-08-01T00:00:00			christian|catholics|roman catholicism	roman catholic|catholic league|catholic
americablog	2007-08-01T00:00:00				dailykos|muslim-americans|yearlykos
americablog	2007-09-01T00:00:00			yazidi	
americablog	2007-09-01T00:00:00				eastern
americablog	2007-09-01T00:00:00				christian action league|hill
americablog	2007-09-01T00:00:00			victorians	victorian
americablog	2007-09-01T00:00:00				marine corps marathon
americablog	2007-10-01T00:00:00				iraqis|blackwater �۪s|blackwater rent-a-cops
americablog	2007-10-01T00:00:00		christian|christians		
americablog	2007-11-01T00:00:00		europeans|emirati	middle eastern|french	
americablog	2007-12-01T00:00:00			british	
americablog	2007-12-01T00:00:00			victorian	british
americablog	2008-01-01T00:00:00				eastasia
americablog	2008-01-01T00:00:00				new year
americablog	2008-01-01T00:00:00				jews|catholics
americablog	2008-01-01T00:00:00				joe
americablog	2008-02-01T00:00:00				super tuesday
americablog	2008-02-01T00:00:00		nazi|nazis|politico		new america
americablog	2008-03-01T00:00:00				anti-catholic|nexis
americablog	2008-04-01T00:00:00				anti-american|british|australian|iraqis
americablog	2008-05-01T00:00:00				dem|christians
americablog	2008-05-01T00:00:00				swift boat
americablog	2008-06-01T00:00:00				clintons
americablog	2008-06-01T00:00:00				anti-hillary
americablog	2008-06-01T00:00:00				russert|press
americablog	2008-07-01T00:00:00			u.s. constitution	
americablog	2008-08-01T00:00:00			european	
americablog	2008-08-01T00:00:00		sushi		
americablog	2008-08-01T00:00:00				internet
americablog	2008-09-01T00:00:00		french		
americablog	2008-09-01T00:00:00		house gop		
americablog	2008-10-01T00:00:00				wasilla
americablog	2008-10-01T00:00:00		wasilla		
americablog	2008-10-01T00:00:00		muslim		
americablog	2008-11-01T00:00:00		arab		
americablog	2008-12-01T00:00:00				milk
americablog	2008-12-01T00:00:00		pro-obama		
americablog	2008-12-01T00:00:00				ponzi
americablog	2009-01-01T00:00:00			pre-ronald reagan	
americablog	2009-01-01T00:00:00		afghan		
americablog	2009-02-01T00:00:00			italian|italians|chinese	
americablog	2009-02-01T00:00:00		hill	no �۪	
americablog	2009-02-01T00:00:00				british|german|french|european
americablog	2009-03-01T00:00:00			repubs	ap|islamic|islam
americablog	2009-03-01T00:00:00				south african|mandela
americablog	2009-05-01T00:00:00		miss c	miss	miss california
americablog	2009-06-01T00:00:00		romans	french|german	japanese
americablog	2009-07-01T00:00:00		academy award-winning		serbian|czech|brentwood|brando
americablog	2009-07-01T00:00:00				argentinian|state
americablog	2009-08-01T00:00:00		bubble		ha�۪agudah|israeli
americablog	2009-08-01T00:00:00		u.s. navy		
americablog	2009-08-01T00:00:00				trinity|catholics|american political science review
americablog	2009-11-01T00:00:00		nixon		
americablog	2009-12-01T00:00:00		afghan		soviet|pakistani|afghans|pakistanis|iraqis
americablog	2010-01-01T00:00:00			tasmanian	
americablog	2010-01-01T00:00:00				christ
americablog	2010-02-01T00:00:00			hill	
americablog	2010-04-01T00:00:00				japanese
americablog	2010-04-01T00:00:00				islamic
americablog	2010-04-01T00:00:00		phelps		
americablog	2010-05-01T00:00:00			romanian	dutch
americablog	2010-05-01T00:00:00				common purpose|national defense authorization
americablog	2010-05-01T00:00:00				huffington post
americablog	2010-06-01T00:00:00				british|anti-american|un-american
americablog	2010-06-01T00:00:00		chinese		
americablog	2010-06-01T00:00:00			operation iraqi freedom	
americablog	2010-07-01T00:00:00		catholic|irish|d��il	bishops	
americablog	2010-07-01T00:00:00			israeli	
americablog	2010-07-01T00:00:00			u.s. constitution	
americablog	2010-07-01T00:00:00			defense	petey
americablog	2010-08-01T00:00:00			japanese	
americablog	2010-09-01T00:00:00		north korean		embed
americablog	2010-09-01T00:00:00				teabagger
americablog	2010-10-01T00:00:00				dems
americablog	2010-11-01T00:00:00		roosevelt		
americablog	2010-12-01T00:00:00		world aids|world aids day		
americablog	2010-12-01T00:00:00		afghans		government
americablog	2011-01-01T00:00:00				native american|u.s. constitution
americablog	2011-02-01T00:00:00		ugandan		family
americablog	2011-02-01T00:00:00				egyptians
americablog	2011-02-01T00:00:00			south	african americans
americablog	2011-03-01T00:00:00		bible	nyt|english	american life|new yorker
americablog	2011-03-01T00:00:00				kenyan
americablog	2011-03-01T00:00:00		birther|brits	kenyan|british	
americablog	2011-03-01T00:00:00				stars
americablog	2011-03-01T00:00:00			british|brits|kenyan|clintons	birther
americablog	2011-04-01T00:00:00			auschwitz|bush-era	
americablog	2011-04-01T00:00:00				galtian
americablog	2011-05-01T00:00:00			pakistani|flight 93	qaeda|afghan
americablog	2011-05-01T00:00:00				midas
americablog	2011-05-01T00:00:00			world	world �۪s|britons
americablog	2011-05-01T00:00:00			libyan	
americablog	2011-06-01T00:00:00			troll	
americablog	2011-06-01T00:00:00			model-t|honeymooners	post-war|american dream
americablog	2011-06-01T00:00:00			german	gp|greek|bundesbank|european|update|new drachmas|irish
americablog	2011-07-01T00:00:00				libyan
americablog	2011-07-01T00:00:00				sharron angle-richard ziser
americablog	2011-08-01T00:00:00				advocate
americablog	2011-09-01T00:00:00				australian
americablog	2011-10-01T00:00:00				world war ii|truman-created
americablog	2011-11-01T00:00:00		italian		
americablog	2011-12-01T00:00:00		british		
americablog	2011-12-01T00:00:00		british		californian
americablog	2012-01-01T00:00:00				��� yes
americablog	2012-01-01T00:00:00				latino
americablog	2012-01-01T00:00:00		mork		
americablog	2012-02-01T00:00:00		general social survey		
americablog	2012-03-01T00:00:00			ballot|amendment one	
americablog	2012-04-01T00:00:00				japanese
americablog	2012-04-01T00:00:00			super pacs	
americablog	2012-05-01T00:00:00			future	
americablog	2012-06-01T00:00:00			gmt	
americablog	2012-06-01T00:00:00				war
americablog	2012-07-01T00:00:00		swiss|muslim		
americablog	2012-07-01T00:00:00				english
americablog	2012-08-01T00:00:00		polish		english
americablog	2012-08-01T00:00:00		post-reagan	sag harbor	
americablog	2012-10-01T00:00:00		ravens|greek		
americablog	2012-10-01T00:00:00			lord	
americablog	2012-10-01T00:00:00				british
americablog	2012-10-01T00:00:00				republican national convention
americablog	2012-11-01T00:00:00			dem|rubinesque|krugman|grand bargain	
americablog	2012-11-01T00:00:00				catholic|african american
americablog	2012-12-01T00:00:00				british|midwest
americablog	2013-02-01T00:00:00				democratic senator
americablog	2013-02-01T00:00:00		captain kangaroo		
americablog	2013-02-01T00:00:00				libar-rigging|british|libor-rigging
americablog	2013-03-01T00:00:00		un-german|nazi german		opera platz|war|holo|jews|jewish|german|holocaust|nazi ger|euro-style
americablog	2013-03-01T00:00:00				medicaid|reagan
americablog	2013-03-01T00:00:00				guatemalan
americablog	2013-03-01T00:00:00				new roommate tags|pope
americablog	2013-04-01T00:00:00				english|rnc|times|catholic
americablog	2013-04-01T00:00:00		neoliberal|health care|fund|medicare	trans-pacific partnership|dems|bigs	post-reagan|dem
americablog	2013-04-01T00:00:00		keytone pipeline	crude monitor web	athabasca
americablog	2013-05-01T00:00:00			internet|boston marathon	
americablog	2013-05-01T00:00:00		latino|catholic	gay-americans	
americablog	2013-05-01T00:00:00		climate series	mesozoic|neogene period|industrial revolution	
americablog	2013-05-01T00:00:00				nra
americablog	2013-06-01T00:00:00		bedouin		
americablog	2013-06-01T00:00:00			pipe-eating	
americablog	2013-06-01T00:00:00				mediterranean
americablog	2013-07-01T00:00:00				european
americablog	2013-07-01T00:00:00			anti-american	russians
americablog	2013-07-01T00:00:00				japanese|western|u.s. constitution|supreme
americablog	2013-07-01T00:00:00				russians|anti-american
americablog	2013-07-01T00:00:00		western	u.s. constitution|supreme|japanese	
americablog	2013-07-01T00:00:00				deadlines
americablog	2013-07-01T00:00:00				russian-speaking|winter olympics|olympic
propublica	2014-10-13T00:00:00			inglewood-based	city
propublica	2014-10-10T00:00:00				buzzfeed
propublica	2014-10-10T00:00:00		african american|weapon used|asian|american community survey		
propublica	2014-10-09T00:00:00				internet-related
propublica	2014-10-08T00:00:00			peggy|medicare	
propublica	2014-10-07T00:00:00				virginia-based
propublica	2014-10-06T00:00:00		medicare		
propublica	2014-10-03T00:00:00			excessive	
propublica	2014-10-03T00:00:00			korean war	american world war ii
propublica	2014-10-02T00:00:00			african americans	
propublica	2014-10-01T00:00:00		healthcare.gov	affordable care act	open payment
propublica	2014-10-01T00:00:00			social security|instagram	please enable cookies|pink pistachio peppercorn
propublica	2014-09-30T00:00:00		new open payments system|januvia	affordable care act	
propublica	2014-09-29T00:00:00				pharmashine
propublica	2014-09-26T00:00:00		spanish|brazilian|ivy league|european	confidential treatment requested|american life	interests section
propublica	2014-09-25T00:00:00		see more|great alone|japanese|washignton post		scientific american|day|olympics
propublica	2014-09-25T00:00:00			labor	
propublica	2014-09-24T00:00:00		american progress|justice-funded		the gun debate
propublica	2014-09-23T00:00:00			do not track|not track|gerald loeb award	dragnet nation
propublica	2014-09-19T00:00:00				civilian ptsd|this american life
propublica	2014-09-18T00:00:00			lord	paz
propublica	2014-09-18T00:00:00			tor|hispanic|english-only	
propublica	2014-09-17T00:00:00				medicare
propublica	2014-09-16T00:00:00				san diego-based|consumer expenditure survey
propublica	2014-09-12T00:00:00		koch		
propublica	2014-09-12T00:00:00		justice-funded		
propublica	2014-09-12T00:00:00		fbi		
propublica	2014-09-09T00:00:00			facebook|justice department-funded|mexican	
propublica	2014-09-08T00:00:00		sixapart|neo-nazi	german|san francisco-based	internet|ip|english
propublica	2014-09-05T00:00:00				african-american
propublica	2014-09-04T00:00:00		chinese		
propublica	2014-09-04T00:00:00			southern|main street|u.s. senate	
propublica	2014-08-29T00:00:00				medicare|fcc|chinese
propublica	2014-08-27T00:00:00				chinese|shanghai-based
propublica	2014-08-25T00:00:00				west
propublica	2014-08-22T00:00:00				guatemalan
propublica	2014-08-22T00:00:00				west florissant
propublica	2014-08-19T00:00:00			program	
propublica	2014-08-18T00:00:00			african american	
propublica	2014-08-18T00:00:00		cab		
propublica	2014-08-15T00:00:00				medicare
propublica	2014-08-14T00:00:00			scandinavian	european|enterobacteriaceae
propublica	2014-08-13T00:00:00				marine division
propublica	2014-08-11T00:00:00		english		
propublica	2014-08-08T00:00:00				latin american
propublica	2014-08-08T00:00:00		german|qatari|malaysian|firefox|bahraini	bosnian|french|hungarian|dutch|tor	
propublica	2014-08-07T00:00:00			north american|state	
propublica	2014-08-05T00:00:00		memorial day	marine division|russo-affiliated|pacs|internet	chinook|defense department-managed|vfw|sacramento-based|marine|swiss|please help !
propublica	2014-08-04T00:00:00				medicare
propublica	2014-08-04T00:00:00				medicaid
propublica	2014-08-04T00:00:00			open payments	
propublica	2014-05-13T00:00:00			south	
propublica	2014-02-28T00:00:00			medicare	
propublica	2014-02-27T00:00:00			medicare	
propublica	2014-02-27T00:00:00			canadian	
propublica	2014-02-27T00:00:00			seattle-based|medicaid|medicare	
propublica	2014-02-25T00:00:00		catholic|edvisors|department		
propublica	2014-02-24T00:00:00		polish|slovenian	european	
propublica	2014-02-18T00:00:00		internship		
propublica	2014-01-27T00:00:00				tor|new yorker
propublica	2013-12-31T00:00:00				ruby
propublica	2013-12-20T00:00:00				internship|internet|tor
propublica	2013-12-18T00:00:00			census 2010 occupation index|american community survey	bls soc|scopes manual|english|north american
propublica	2013-12-16T00:00:00				tor|lcd
propublica	2013-12-09T00:00:00				british
propublica	2013-12-01T00:00:00				hiv-positive
propublica	2013-11-04T00:00:00		costa rican	costa rican census	
propublica	2013-10-24T00:00:00				photo|mozilla festival|knight-mozilla opennews
propublica	2013-09-26T00:00:00				tor
propublica	2013-09-17T00:00:00				pell
propublica	2013-08-06T00:00:00		internet	ip whois|javascript|firefox|tor	
propublica	2013-08-06T00:00:00				knight-mozilla opennews
propublica	2013-07-19T00:00:00				mom
propublica	2013-05-31T00:00:00				northwestern
propublica	2013-05-16T00:00:00			u.s. world	
propublica	2013-04-25T00:00:00				knife
propublica	2013-03-29T00:00:00				internet
propublica	2013-03-05T00:00:00				african americans
propublica	2013-02-27T00:00:00		pythonic|windows		microsoft-provided|nicar-l
propublica	2013-02-27T00:00:00				varnish
propublica	2013-01-24T00:00:00		german|foursquare|english|spanish		french
propublica	2012-12-19T00:00:00		peepcode|sublime		
propublica	2012-12-13T00:00:00				trentonian
propublica	2012-12-10T00:00:00			olympic	african americans|eye|fair housing act|source
propublica	2012-12-03T00:00:00				argentine
propublica	2012-11-15T00:00:00			petraeus|va	oregonian|civil war|sherlock holmes
propublica	2012-11-14T00:00:00		p5		
propublica	2012-11-14T00:00:00				german
propublica	2012-10-18T00:00:00		adjusted gross income|billion		score
propublica	2012-12-12T00:00:00				facebook
propublica	2012-08-24T00:00:00		new yorker|secure america	fair	watergate
propublica	2012-12-12T00:00:00				files
propublica	2012-12-12T00:00:00		media	cw	soviet-style|medill|pacs
propublica	2012-02-13T00:00:00		mapnik		
propublica	2012-01-19T00:00:00		greek		canadian
propublica	2012-01-12T00:00:00			middle eastern	israeli|cosmic|english|internet|eff|chinese|open source|tor
propublica	2012-01-09T00:00:00		urls		fellow
propublica	2011-12-05T00:00:00		windows|javascript	responsive web design	windows phone
propublica	2011-10-04T00:00:00				facebook
propublica	2010-12-30T00:00:00		windows	pdfs|flash	
propublica	2010-12-30T00:00:00				flash-based|firebug net
propublica	2010-12-30T00:00:00				common_name
propublica	2010-12-30T00:00:00		pdfs|mechanical turk	flashpaper	
propublica	2010-11-02T00:00:00				github|varnish
propublica	2010-10-18T00:00:00		wordpress		medicare
propublica	2010-10-08T00:00:00		gitmo|pakistani		guantanamo|documentcloud
propublica	2010-09-23T00:00:00		export filtered rows > templating	row template	javascript
propublica	2010-03-31T00:00:00				super bowl blitz
